Scope
Manufacturer	Model
Native Instruments	vst3.5653544E696638666D38000000000000.FM8

Remotable	Min	Max	Input type	Output type
PsycheDelay: Stereo	0	4194304	Value	ValueOutput
Delay: Delay Time	0	4194304	Value	ValueOutput
Delay: Diffusion	0	4194304	Value	ValueOutput
Delay: Modulation Depth	0	4194304	Value	ValueOutput
Delay: Feedback	0	4194304	Value	ValueOutput
Delay: High Cut	0	4194304	Value	ValueOutput
Delay: Low Cut	0	4194304	Value	ValueOutput
Delay: Invert	0	1	Value	ValueOutput
Delay: On/Off	0	1	Value	ValueOutput
Delay: Dry/Wet	0	4194304	Value	ValueOutput
Delay: Modulation Rate	0	4194304	Value	ValueOutput
Delay: Sync Delays	0	1	Value	ValueOutput
Delay: MIDI Tempo Sync	0	1	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
Input Volume	0	4194304	Value	ValueOutput
Master Tune	0	4194304	Value	ValueOutput
Pitch Transpose	0	4194304	Value	ValueOutput
Unison Detune	0	4194304	Value	ValueOutput
Unison Mono	0	1	Value	ValueOutput
Unison Pan	0	4194304	Value	ValueOutput
Portamento On/Off	0	1	Value	ValueOutput
Portamento Auto	0	1	Value	ValueOutput
Portamento Time	0	4194304	Value	ValueOutput
Analog Quality BL	0	4194304	Value	ValueOutput
Analog Quality BR	0	4194304	Value	ValueOutput
Analog Quality TR	0	4194304	Value	ValueOutput
Analog Quality TL	0	4194304	Value	ValueOutput
Digital Quality BL	0	4194304	Value	ValueOutput
Digital Quality BR	0	4194304	Value	ValueOutput
Digital Quality TR	0	4194304	Value	ValueOutput
Digital Quality TL	0	4194304	Value	ValueOutput
Arpeggiator On	0	1	Value	ValueOutput
Arpeggiator Note Length	0	4194304	Value	ValueOutput
Arpeggiator Fixed Velocity	0	1	Value	ValueOutput
Arpeggiator Velocity	0	4194304	Value	ValueOutput
Arpeggiator Accent	0	4194304	Value	ValueOutput
Arpeggiator Shuffle	0	4194304	Value	ValueOutput
Arpeggiator Hold	0	1	Value	ValueOutput
Arpeggiator Rotate Right	0	1	Value	ValueOutput
Arpeggiator Rotate Left	0	1	Value	ValueOutput
Arpeggiator Number of Steps	0	4194304	Value	ValueOutput
Arpeggiator Mode	0	4194304	Value	ValueOutput
Arpeggiator Down	0	1	Value	ValueOutput
Arpeggiator 1 Shot	0	1	Value	ValueOutput
Arpeggiator Tempo	0	4194304	Value	ValueOutput
Arpeggiator Tripplets	0	1	Value	ValueOutput
Arpeggiator Dotted	0	1	Value	ValueOutput
Arpeggiator Key Sync	0	1	Value	ValueOutput
Arpeggiator BPM Sync	0	1	Value	ValueOutput
Arpeggiator BPM	0	4194304	Value	ValueOutput
Arpeggiator Split On	0	1	Value	ValueOutput
Arpeggiator Split Note	0	4194304	Value	ValueOutput
Arpeggiator Split Bass	0	1	Value	ValueOutput
Microtune Root Note	0	4194304	Value	ValueOutput
Microtuning of Note C 	0	4194304	Value	ValueOutput
Microtuning of Note C#	0	4194304	Value	ValueOutput
Microtuning of Note D 	0	4194304	Value	ValueOutput
Microtuning of Note D#	0	4194304	Value	ValueOutput
Microtuning of Note E 	0	4194304	Value	ValueOutput
Microtuning of Note F 	0	4194304	Value	ValueOutput
Microtuning of Note F#	0	4194304	Value	ValueOutput
Microtuning of Note G 	0	4194304	Value	ValueOutput
Microtuning of Note G#	0	4194304	Value	ValueOutput
Microtuning of Note A 	0	4194304	Value	ValueOutput
Microtuning of Note A#	0	4194304	Value	ValueOutput
Microtuning of Note H 	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. A -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. B -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. C -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. D -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Op. Z TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Out   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Out   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Out   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Out   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Pan   BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Pan   BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Pan   TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> Pan   TL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> In    BL	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> In    BR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> In    TR	0	4194304	Value	ValueOutput
FM-Matrix Op. E -> In    TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. A BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. A BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. A TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. A TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. B BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. B BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. B TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. B TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. C BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. C BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. C TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. C TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. D BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. D BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. D TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. D TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. E BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. E BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. E TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. E TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. F BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. F BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. F TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. F TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. X BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. X BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. X TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. X TL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. Z BL	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. Z BR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. Z TR	0	4194304	Value	ValueOutput
FM-Matrix Op. F -> Op. Z TL	0	4194304	Value	ValueOutput
